ticker,ticker_id,price,previous_close,gap_percent,avg_daily_volume,premarket_volume,dollar_volume,atr,atr_percent,market_cap,fetch_time,pm_vol_ratio_score,atr_percent_score,dollar_vol_score,pm_vol_abs_score,price_atr_bonus,gap_magnitude_score,interest_score,rank,scan_time,ticker_list
MCD,MCD.112025,301.55,304.59,-0.9980629698939438,2525884.705882353,1258832.0,764686335.8588235,4.913182151465966,1.6229048528327825,,2025-11-20 13:22:43.045556+00:00,49.83727076174126,1.6229048528327825,100.0,100.0,0.0,0.0,50.34,1,2025-11-20 13:22:43.045556+00:00,sp500
WMT,WMT.112025,101.73,101.39,0.33533879080777534,12309199.11764706,2281501.0,1238428523.2264707,2.032532640723156,2.0202093636051646,,2025-11-20 13:22:43.045556+00:00,18.53492642530358,2.0202093636051646,100.0,100.0,100.0,0.0,42.92,2,2025-11-20 13:22:43.045556+00:00,sp500
BBWI,BBWI.112025,17.46,21.1,-17.251184834123222,5167831.588235294,577401.0,108731176.61647059,0.7195838065964932,3.4200751264091886,,2025-11-20 13:22:43.045556+00:00,11.172984067717467,3.4200751264091886,100.0,96.02463806421228,100.0,0.0,39.93,3,2025-11-20 13:22:43.045556+00:00,sp500
GOOGL,GOOGL.112025,302.54,284.28,6.423244688335461,27525027.11764706,2426593.0,8059603190.318235,10.699042641317938,3.6539198255926837,,2025-11-20 13:22:43.045556+00:00,8.815951350849874,3.6539198255926837,100.0,100.0,100.0,0.0,39.44,4,2025-11-20 13:22:43.045556+00:00,sp500
NVDA,NVDA.112025,196.15,181.36,8.155050727834137,152188160.4117647,6229633.0,28386135680.002354,8.074251948483354,4.328893388635724,,2025-11-20 13:22:43.045556+00:00,4.093375583977705,4.328893388635724,100.0,100.0,100.0,0.0,37.72,5,2025-11-20 13:22:43.045556+00:00,sp500
GOOG,GOOG.112025,302.4475,284.96,6.136826221224036,17478781.588235293,548243.0,5121108217.537059,10.57344458213144,3.6088073252095425,,2025-11-20 13:22:43.045556+00:00,3.13662023426744,3.6088073252095425,100.0,95.64956479071277,100.0,0.0,36.72,6,2025-11-20 13:22:43.045556+00:00,sp500
INTC,INTC.112025,35.73,34.33,4.078065831634135,56767453.5882353,499067.0,1993105295.4829412,1.4894936170137845,4.242362908042678,,2025-11-20 13:22:43.045556+00:00,0.879142833532749,4.242362908042678,100.0,94.96932873342759,100.0,0.0,35.91,7,2025-11-20 13:22:43.045556+00:00,sp500
AMZN,AMZN.112025,227.18,222.55,2.0804313637384837,37116739.941176474,360639.0,8265526817.500589,6.416576795128969,2.881394222968687,,2025-11-20 13:22:43.045556+00:00,0.9716343638249199,2.881394222968687,100.0,92.61789823943354,100.0,0.0,35.37,8,2025-11-20 13:22:43.045556+00:00,sp500
SMCI,SMCI.112025,35.8045,34.9,2.5916905444126037,25012514.17647059,450184.0,843672103.1723529,2.6374344796164984,7.819254312530384,,2025-11-20 13:22:43.045556+00:00,1.799835061856719,7.819254312530384,100.0,94.22318367286398,0.0,0.0,32.1,9,2025-11-20 13:22:43.045556+00:00,sp500
MU,MU.112025,231.8,228.5,1.4442013129102895,21870522.82352941,399595.0,4940988516.291764,17.512494709061738,7.75163540592322,,2025-11-20 13:22:43.045556+00:00,1.8270939530082728,7.75163540592322,100.0,93.36035220400126,0.0,0.0,32.0,10,2025-11-20 13:22:43.045556+00:00,sp500
AMD,AMD.112025,233.0,230.29,1.1767771071258015,43444119.823529415,591150.0,9711932986.550001,15.04233704832283,6.728846812043314,,2025-11-20 13:22:43.045556+00:00,1.3607134921854995,6.728846812043314,100.0,96.19497380968399,0.0,0.0,31.85,11,2025-11-20 13:22:43.045556+00:00,sp500
TSLA,TSLA.112025,413.3993,401.25,3.027862928348905,67403651.58823529,785541.0,27230401205.131176,21.918586546903132,5.4255270048523805,,2025-11-20 13:22:43.045556+00:00,1.1654279575219768,5.4255270048523805,100.0,98.252823501707,0.0,0.0,31.65,12,2025-11-20 13:22:43.045556+00:00,sp500
PLTR,PLTR.112025,171.75,167.33,2.641486882208801,52898408.4117647,501833.0,8750454719.474117,9.771783345816484,5.907256284497935,,2025-11-20 13:22:43.045556+00:00,0.9486731549533566,5.907256284497935,100.0,95.00933470120968,0.0,0.0,31.36,13,2025-11-20 13:22:43.045556+00:00,sp500
