ticker,ticker_id,price,previous_close,gap_percent,avg_daily_volume,premarket_volume,dollar_volume,atr,atr_percent,market_cap,fetch_time,pm_vol_ratio_score,atr_percent_score,dollar_vol_score,pm_vol_abs_score,price_atr_bonus,gap_magnitude_score,interest_score,rank,scan_time,ticker_list
NVDA,NVDA.102025,182.9821,181.81,0.6446840107804853,132611019.23529412,2532194.0,24296990944.29059,6.842793152075749,3.73474137762021,,2025-10-20 12:15:17.510318+00:00,1.9094898859853289,3.73474137762021,100.0,100.0,100.0,0.0,36.7,1,2025-10-20 12:15:17.510318+00:00,sp500
TSLA,TSLA.102025,443.94,428.75,3.542857142857142,70522480.94117647,917271.0,30981231102.268238,21.682217806726033,4.935516561591139,,2025-10-20 12:15:17.510318+00:00,1.3006788583701487,4.935516561591139,100.0,99.37496894569988,100.0,0.0,36.69,2,2025-10-20 12:15:17.510318+00:00,sp500
AMZN,AMZN.102025,213.1504,214.47,-0.6152841889308567,34527579.941176474,602446.0,7355755630.668236,6.387618092644932,2.998318669097321,,2025-10-20 12:15:17.510318+00:00,1.7448254439678883,2.998318669097321,100.0,96.33198076780825,100.0,0.0,36.08,3,2025-10-20 12:15:17.510318+00:00,sp500
AAPL,AAPL.102025,256.0,247.45,3.455243483532031,32375068.588235293,519541.0,8167906054.125882,5.798506298689686,2.298349636802761,,2025-10-20 12:15:17.510318+00:00,1.6047564457942025,2.298349636802761,100.0,95.26034436443554,100.0,0.0,35.74,4,2025-10-20 12:15:17.510318+00:00,sp500
SMCI,SMCI.102025,54.23,53.84,0.7243684992570457,24579566.88235294,537759.0,1282561799.9211764,3.4494904883227115,6.610752181530685,,2025-10-20 12:15:17.510318+00:00,2.1878294380609593,6.610752181530685,100.0,95.50980825209004,0.0,0.0,32.08,5,2025-10-20 12:15:17.510318+00:00,sp500
MU,MU.102025,210.7001,202.53,4.034019651409663,20818858.70588235,506422.0,4213320624.89647,10.814345429929936,5.343584064596272,,2025-10-20 12:15:17.510318+00:00,2.432515668387292,5.343584064596272,100.0,95.07522369377836,0.0,0.0,31.82,6,2025-10-20 12:15:17.510318+00:00,sp500
INTC,INTC.102025,37.6001,36.84,2.0632464712269116,91804187.64705883,895822.0,3397672984.817647,2.1950151699474763,5.930870494319039,,2025-10-20 12:15:17.510318+00:00,0.9757964456305495,5.930870494319039,100.0,99.20370347731263,0.0,0.0,31.79,7,2025-10-20 12:15:17.510318+00:00,sp500
AMD,AMD.102025,237.3001,234.56,1.1681872442019032,73172941.05882353,700544.0,17055149101.99059,13.752498626076173,5.90033405958305,,2025-10-20 12:15:17.510318+00:00,0.9573812257140718,5.90033405958305,100.0,97.4239339621473,0.0,0.0,31.6,8,2025-10-20 12:15:17.510318+00:00,sp500
PLTR,PLTR.102025,179.9,178.12,0.9993262968785095,38387400.0,300637.0,6838715310.0,9.275978410460656,5.206836042919257,,2025-10-20 12:15:17.510318+00:00,0.7831658304547847,5.206836042919257,100.0,91.3007312268963,0.0,0.0,30.75,9,2025-10-20 12:15:17.510318+00:00,sp500
