ticker,ticker_id,price,previous_close,gap_percent,avg_daily_volume,premarket_volume,dollar_volume,atr,atr_percent,market_cap,fetch_time,pm_vol_ratio_score,atr_percent_score,dollar_vol_score,pm_vol_abs_score,price_atr_bonus,gap_magnitude_score,interest_score,rank,scan_time,ticker_list
KMX,KMX.092525,50.3,57.6,-12.67361111111112,2357731.0588235296,351817.0,134508556.90588236,1.7619878806260736,3.088497599695134,,2025-09-25 11:46:19.544041+00:00,14.921846097898506,3.088497599695134,100.0,92.43863425698393,100.0,0.0,40.98,1,2025-09-25 11:46:19.544041+00:00,sp500
TSLA,TSLA.092525,436.0,425.85,2.383468357402836,76738344.8235294,1270074.0,33978971704.410587,16.22204178386347,3.663597141729368,,2025-09-25 11:46:19.544041+00:00,1.6550708813445396,3.663597141729368,100.0,100.0,100.0,0.0,36.58,2,2025-09-25 11:46:19.544041+00:00,sp500
NVDA,NVDA.092525,175.01,178.43,-1.916718040688234,138740536.52941176,1813727.0,24552912749.61,4.931200057878413,2.786461014792571,,2025-09-25 11:46:19.544041+00:00,1.3072797939018392,2.786461014792571,100.0,100.0,100.0,0.0,36.22,3,2025-09-25 11:46:19.544041+00:00,sp500
PLTR,PLTR.092525,175.12,182.55,-4.070117775951798,44149291.294117644,542569.0,7927446744.771765,6.78498700455357,3.7786739833780185,,2025-09-25 11:46:19.544041+00:00,1.2289415845556069,3.7786739833780185,100.0,95.57426294838648,100.0,0.0,35.99,4,2025-09-25 11:46:19.544041+00:00,sp500
INTC,INTC.092525,31.71,29.34,8.077709611451946,96538961.47058824,4448199.0,3013946377.1117644,1.6063805176626809,5.145357199432034,,2025-09-25 11:46:19.544041+00:00,4.607672314100041,5.145357199432034,100.0,100.0,0.0,0.0,33.13,5,2025-09-25 11:46:19.544041+00:00,sp500
FCX,FCX.092525,37.8,45.36,-16.66666666666667,15682268.823529411,325145.0,590751066.582353,2.058615096688534,5.464866197739671,,2025-09-25 11:46:19.544041+00:00,2.0733288254321844,5.464866197739671,100.0,91.86797359356767,0.0,0.0,31.38,6,2025-09-25 11:46:19.544041+00:00,sp500
