ticker,ticker_id,price,previous_close,gap_percent,avg_daily_volume,premarket_volume,dollar_volume,atr,atr_percent,market_cap,fetch_time,pm_vol_ratio_score,atr_percent_score,dollar_vol_score,pm_vol_abs_score,price_atr_bonus,gap_magnitude_score,interest_score,rank,scan_time,ticker_list
AMD,AMD.100625,205.31,169.73,20.962705473398938,34172575.941176474,9926391.0,5627198080.233529,5.475323328980562,3.325027830801338,,2025-10-06 11:46:34.118644+00:00,29.04782775839596,3.325027830801338,100.0,100.0,100.0,0.0,47.45,1,2025-10-06 11:46:34.118644+00:00,sp500
NVDA,NVDA.100625,185.0,188.89,-2.059399650590284,145000147.7647059,5478951.0,27204927723.61412,5.046304490018884,2.6896410244211086,,2025-10-06 11:46:34.118644+00:00,3.7785830459226726,2.6896410244211086,100.0,100.0,100.0,0.0,37.18,2,2025-10-06 11:46:34.118644+00:00,sp500
TSLA,TSLA.100625,438.98,436.0,0.6834862385321143,75525152.0,1623602.0,32462976084.16,20.922117295111093,4.867533046811785,,2025-10-06 11:46:34.118644+00:00,2.149750059423912,4.867533046811785,100.0,100.0,100.0,0.0,37.08,3,2025-10-06 11:46:34.118644+00:00,sp500
PLTR,PLTR.100625,177.55,187.05,-5.078855920876771,46616333.35294118,881487.0,8067888813.393529,7.665560971842353,4.429167950449156,,2025-10-06 11:46:34.118644+00:00,1.8909402275938205,4.429167950449156,100.0,99.08694007458494,100.0,0.0,36.77,4,2025-10-06 11:46:34.118644+00:00,sp500
AVGO,AVGO.100625,332.0,338.18,-1.8274291797267745,18574131.11764706,458635.0,6284928746.278235,11.004026298808121,3.25206912516125,,2025-10-06 11:46:34.118644+00:00,2.469213752692078,3.25206912516125,100.0,94.3578023513002,100.0,0.0,36.24,5,2025-10-06 11:46:34.118644+00:00,sp500
MU,MU.100625,194.93,183.75,6.084353741496602,24098806.11764706,408319.0,4526478753.077647,7.024933819353676,3.7400488842856174,,2025-10-06 11:46:34.118644+00:00,1.6943536455982209,3.7400488842856174,100.0,93.51667754508416,100.0,0.0,35.96,6,2025-10-06 11:46:34.118644+00:00,sp500
INTC,INTC.100625,37.02,37.3,-0.7506702412868473,147816640.3529412,2123474.0,5444086864.198824,1.8967637568704763,5.150050928239143,,2025-10-06 11:46:34.118644+00:00,1.4365595070553558,5.150050928239143,100.0,100.0,0.0,0.0,31.86,7,2025-10-06 11:46:34.118644+00:00,sp500
