ticker,ticker_id,price,previous_close,gap_percent,avg_daily_volume,premarket_volume,dollar_volume,atr,atr_percent,market_cap,fetch_time,pm_vol_ratio_score,atr_percent_score,dollar_vol_score,pm_vol_abs_score,price_atr_bonus,gap_magnitude_score,interest_score,rank,scan_time,ticker_list
QCOM,QCOM.101025,163.39,167.77,-2.6107170531084365,5187172.0,354780.0,859306913.52,3.98153555456169,2.403438098854093,,2025-10-10 12:38:50.367307+00:00,6.839564988398303,2.403438098854093,100.0,92.4993392250729,100.0,0.0,37.59,1,2025-10-10 12:38:50.367307+00:00,sp500
INTC,INTC.101025,38.41,37.43,2.618220678600045,117582853.22222222,2585294.0,4444631851.8,1.7659659101040992,4.671867487047882,,2025-10-10 12:38:50.367307+00:00,2.1986998351826013,4.671867487047882,100.0,100.0,100.0,0.0,37.05,2,2025-10-10 12:38:50.367307+00:00,sp500
TSLA,TSLA.101025,436.48,438.69,-0.5037725956825958,73464529.16666667,938608.0,31996741033.250004,20.799523081916455,4.77557126369942,,2025-10-10 12:38:50.367307+00:00,1.2776342687375148,4.77557126369942,100.0,99.54141190328963,100.0,0.0,36.66,3,2025-10-10 12:38:50.367307+00:00,sp500
NVDA,NVDA.101025,193.8475,189.11,2.5051557294696116,135285858.1111111,2385418.0,26051997696.456665,5.490496384528769,2.8511691252680946,,2025-10-10 12:38:50.367307+00:00,1.7632426872296154,2.8511691252680946,100.0,100.0,100.0,0.0,36.42,4,2025-10-10 12:38:50.367307+00:00,sp500
ORCL,ORCL.101025,302.3,288.63,4.736167411564985,20719569.111111112,453368.0,6152883243.235556,13.026909932113462,4.386755769165363,,2025-10-10 12:38:50.367307+00:00,2.1881150016622506,4.386755769165363,100.0,94.27419701772531,100.0,0.0,36.4,5,2025-10-10 12:38:50.367307+00:00,sp500
PLTR,PLTR.101025,185.35,183.56,0.9751579864894269,40853167.61111111,372083.0,7577036996.832778,8.080305999700123,4.356664689545545,,2025-10-10 12:38:50.367307+00:00,0.910781272928276,4.356664689545545,100.0,92.84401658845756,100.0,0.0,35.74,6,2025-10-10 12:38:50.367307+00:00,sp500
AMD,AMD.101025,233.3,235.56,-0.9594158600781078,56555240.166666664,854303.0,13171149882.414999,14.585059446656569,6.262638776528219,,2025-10-10 12:38:50.367307+00:00,1.5105638265921844,6.262638776528219,100.0,98.86020733016777,0.0,0.0,32.06,7,2025-10-10 12:38:50.367307+00:00,sp500
