ticker,ticker_id,price,previous_close,gap_percent,avg_daily_volume,premarket_volume,dollar_volume,atr,atr_percent,market_cap,fetch_time,pm_vol_ratio_score,atr_percent_score,dollar_vol_score,pm_vol_abs_score,price_atr_bonus,gap_magnitude_score,interest_score,rank,scan_time,ticker_list
KMB,KMB.110325,104.0,120.21,-13.484735047001076,2248408.1764705884,973721.0,269156942.80529416,2.7104386424575795,2.264170614366034,,2025-11-03 12:52:54.651561+00:00,43.30712769104437,2.264170614366034,100.0,99.80724970740137,100.0,0.0,52.87,1,2025-11-03 12:52:54.651561+00:00,sp500
KVUE,KVUE.110325,17.33,14.24,21.699438202247176,27594503.88235294,5448509.0,396533020.7894117,0.569014176896638,3.959736791208337,,2025-11-03 12:52:54.651561+00:00,19.74490653366809,3.959736791208337,100.0,100.0,100.0,0.0,43.89,2,2025-11-03 12:52:54.651561+00:00,sp500
PLTR,PLTR.110325,205.7,194.55,5.731174505268556,32890623.529411763,1049364.0,6593583298.941176,7.162097004869924,3.5726527684291534,,2025-11-03 12:52:54.651561+00:00,3.190465510821429,3.5726527684291534,100.0,100.0,100.0,0.0,37.17,3,2025-11-03 12:52:54.651561+00:00,sp500
NVDA,NVDA.110325,206.321,202.89,1.6910641234166357,137875616.2352941,2764651.0,27918433531.484703,6.411263154900464,3.166212235122951,,2025-11-03 12:52:54.651561+00:00,2.0051776198642224,3.166212235122951,100.0,100.0,100.0,0.0,36.59,4,2025-11-03 12:52:54.651561+00:00,sp500
MU,MU.110325,232.57,224.01,3.8212579795544857,16496210.05882353,428023.0,3691356924.8629413,9.345041726005064,4.176181671361247,,2025-11-03 12:52:54.651561+00:00,2.5946747675600683,4.176181671361247,100.0,93.85780202153344,100.0,0.0,36.47,5,2025-11-03 12:52:54.651561+00:00,sp500
TSLA,TSLA.110325,457.64,440.1,3.985457850488517,63013052.941176474,640653.0,28769239450.823532,18.69320790207412,4.0943595369883745,,2025-11-03 12:52:54.651561+00:00,1.016698874434886,4.0943595369883745,100.0,96.7770590343433,100.0,0.0,36.11,6,2025-11-03 12:52:54.651561+00:00,sp500
AMD,AMD.110325,259.38,254.84,1.7815099670381382,44105786.52941176,403525.0,11296374045.912941,11.15768712443459,4.356429456674445,,2025-11-03 12:52:54.651561+00:00,0.914902627869273,4.356429456674445,100.0,93.43119204059019,100.0,0.0,35.8,7,2025-11-03 12:52:54.651561+00:00,sp500
INTC,INTC.110325,40.26,40.16,0.24900398406374857,89661866.76470588,407868.0,3585578051.9205885,1.9827004606410792,4.957990649265014,,2025-11-03 12:52:54.651561+00:00,0.45489572626269636,4.957990649265014,100.0,93.50867830180133,100.0,0.0,35.77,8,2025-11-03 12:52:54.651561+00:00,sp500
AMZN,AMZN.110325,245.15,222.86,10.001794848783986,43777523.76470588,394571.0,10691346853.816471,7.976175133319727,3.2659794993529307,,2025-11-03 12:52:54.651561+00:00,0.9013095444153679,3.2659794993529307,100.0,93.26877105307378,100.0,0.0,35.5,9,2025-11-03 12:52:54.651561+00:00,sp500
