ticker,ticker_id,price,previous_close,gap_percent,avg_daily_volume,premarket_volume,dollar_volume,atr,atr_percent,market_cap,fetch_time,pm_vol_ratio_score,atr_percent_score,dollar_vol_score,pm_vol_abs_score,price_atr_bonus,gap_magnitude_score,interest_score,rank,scan_time,ticker_list
NVDA,NVDA.111825,184.78,190.17,-2.8343061471315067,124251200.3,2009158.0,23185273975.98,8.521536185579405,4.566739649292286,,2025-11-18 13:09:58.772305+00:00,1.617012950497831,4.566739649292286,100.0,100.0,100.0,0.0,36.79,1,2025-11-18 13:09:58.772305+00:00,sp500
GOOGL,GOOGL.111825,287.59,276.41,4.044716182482526,23235575.45,473957.0,6622603714.759,9.69420379791102,3.401236333559407,,2025-11-18 13:09:58.772305+00:00,2.0397902389802876,3.401236333559407,100.0,94.59566430299266,100.0,0.0,36.13,2,2025-11-18 13:09:58.772305+00:00,sp500
KVUE,KVUE.111825,16.18,16.66,-2.881152460984396,38294513.3,491923.0,621902895.9919999,0.5651325827358077,3.479880435565318,,2025-11-18 13:09:58.772305+00:00,1.2845782792596558,3.479880435565318,100.0,94.8649668574316,100.0,0.0,35.87,3,2025-11-18 13:09:58.772305+00:00,sp500
INTC,INTC.111825,34.24,35.52,-3.6036036036036063,50091056.95,312129.0,1738660586.7345002,1.509917919468435,4.350094841453283,,2025-11-18 13:09:58.772305+00:00,0.6231232060276979,4.350094841453283,100.0,91.57225853939774,100.0,0.0,35.49,4,2025-11-18 13:09:58.772305+00:00,sp500
AMZN,AMZN.111825,228.4,234.69,-2.680131236950868,39031717.75,326292.0,9089316112.442501,6.4208321304634906,2.7572603299967753,,2025-11-18 13:09:58.772305+00:00,0.8359662828316081,2.7572603299967753,100.0,91.8934626153336,100.0,0.0,35.21,5,2025-11-18 13:09:58.772305+00:00,sp500
TSLA,TSLA.111825,406.0,404.35,0.40806232224557365,57437841.0,595606.0,23487481941.72,23.89931382566687,5.844496191349621,,2025-11-18 13:09:58.772305+00:00,1.0369574998475308,5.844496191349621,100.0,96.24932988749829,0.0,0.0,31.5,6,2025-11-18 13:09:58.772305+00:00,sp500
PLTR,PLTR.111825,167.38,174.01,-3.8101258548359267,44796122.05,466703.0,7671335901.062499,10.709236151014142,6.253568555336725,,2025-11-18 13:09:58.772305+00:00,1.0418379507919928,6.253568555336725,100.0,94.48402538545766,0.0,0.0,31.43,7,2025-11-18 13:09:58.772305+00:00,sp500
