ticker,scan_date,current_price,prior_close,gap_percent,atr,current_overnight_volume,prior_overnight_volume,prior_regular_volume,short_interest,days_to_cover,short_data_date,relative_overnight_volume,relative_volume,gap_magnitude,ranking_score,rank
GEV,2025-09-09 12:00:00+00:00,615.24,600.23,2.5007080619095996,29.363018814329113,1603793.0,2290489.0,3814854.0,0,0,,0.7001967702093308,0.4204074389216468,2.5007080619095996,1603796.621312271,33
DLR,2025-09-09 12:00:00+00:00,166.0,161.21,2.971279697289245,3.405654974001373,1593992.0,1636261.0,3218961.0,0,0,,0.9741673241616099,0.49518835425468033,2.971279697289245,1593996.4406353757,34
NRG,2025-09-09 12:00:00+00:00,153.48,147.76,3.8711423930698423,5.1798797168309045,1567414.0,2056853.0,3585397.0,0,0,,0.7620447353311102,0.43716609346189556,3.8711423930698423,1567419.0703532216,35
ADI,2025-09-09 12:00:00+00:00,255.9,248.98,2.7793397060004885,5.6032183457077265,1510188.0,1753007.0,3241563.0,0,0,,0.8614842952709258,0.46588266216019864,2.7793397060004885,1510192.1067066635,36
ELV,2025-09-09 12:00:00+00:00,315.9,308.16,2.5116822429906387,9.772499461336936,1486440.0,1755777.0,3226861.0,0,0,,0.8465995396909745,0.460645810278162,2.5116822429906387,1486443.818927593,37
CE,2025-09-09 12:00:00+00:00,44.73,46.52,-3.8478073946689726,2.3406659999383344,1452744.0,1683403.0,3132127.0,0,0,,0.8629805221922499,0.4638202729327387,3.8478073946689726,1452749.1746081896,38
BIIB,2025-09-09 12:00:00+00:00,145.2196,141.35,2.737601697912996,4.244916419980626,1301574.0,1197462.0,2484946.0,0,0,,1.086943886319566,0.5237836154186046,2.737601697912996,1301578.3483291995,39
PTC,2025-09-09 12:00:00+00:00,204.03,212.73,-4.089691157805664,3.834701034022342,1291079.0,1088838.0,2368450.0,0,0,,1.1857402111241526,0.5451155819206654,4.089691157805664,1291084.820546951,40
STLD,2025-09-09 12:00:00+00:00,130.29,134.54,-3.1589118477776132,3.5869493968364137,1135965.0,1112790.0,2244843.0,0,0,,1.0208260318658506,0.5060331613391226,3.1589118477776132,1135969.685771041,41
MOH,2025-09-09 12:00:00+00:00,181.65,175.55,3.474793506123608,5.720775547569992,1076518.0,837414.0,1898117.0,0,0,,1.2855266331826314,0.5671504970452296,3.474793506123608,1076523.3274706365,42
WAT,2025-09-09 12:00:00+00:00,300.52,309.37,-2.8606522933704053,9.09745664303969,977793.0,478134.0,1452464.0,0,0,,2.045018760431176,0.6731960310203902,2.8606522933704053,977798.5788670849,43
CDNS,2025-09-09 12:00:00+00:00,351.0,360.64,-2.6730257320319395,8.42887107550924,962169.0,1486642.0,2413116.0,0,0,,0.6472096173793018,0.3987247194084329,2.6730257320319395,962172.7189600689,44
TRV,2025-09-09 12:00:00+00:00,268.08,274.48,-2.331681725444489,4.763164881732685,585902.0,533423.0,1016828.0,0,0,,1.0983815845960898,0.576205611961905,2.331681725444489,585906.006268922,45
VMC,2025-09-09 12:00:00+00:00,292.44,298.91,-2.164531129771512,4.48334758561927,459451.0,595451.0,1052554.0,0,0,,0.7716016935062667,0.4365106208327554,2.164531129771512,459454.3726434441,46
MHK,2025-09-09 12:00:00+00:00,135.46,139.47,-2.875170287517022,4.256413829771537,403046.0,591750.0,994033.0,0,0,,0.6811085762568653,0.40546541211408477,2.875170287517022,403049.9617442759,47
POOL,2025-09-09 12:00:00+00:00,321.87,333.62,-3.521971104849829,11.565036294234613,398452.0,554920.0,952703.0,0,0,,0.7180350320766957,0.41823317445205904,3.521971104849829,398456.65823931136,48
URI,2025-09-09 12:00:00+00:00,945.33,970.23,-2.5664017810209927,21.673418590123443,348148.0,497125.0,833981.0,0,0,,0.7003228564244406,0.4174531554076172,2.5664017810209927,348151.68417779286,49
LII,2025-09-09 12:00:00+00:00,558.08,580.46,-3.8555628294800663,15.384376489364968,338488.0,199081.0,536554.0,0,0,,1.7002526609771902,0.6308554218214756,3.8555628294800663,338494.18667091226,50
MLM,2025-09-09 12:00:00+00:00,614.22,627.09,-2.0523369851217534,8.986779482775004,328469.0,235013.0,550025.0,0,0,,1.3976631079982809,0.5971892186718786,2.0523369851217534,328473.0471893118,51
EQIX,2025-09-09 12:00:00+00:00,782.66,765.51,2.240336507687682,12.039418416683574,241403.0,284385.0,523553.0,0,0,,0.848859820314011,0.46108607915530997,2.240336507687682,241406.55028240714,52
MTD,2025-09-09 12:00:00+00:00,1285.31,1314.65,-2.231772715171349,28.140030889132163,57395.0,35522.0,92036.0,0,0,,1.615759247790102,0.6236146725194489,2.231772715171349,57399.471146635486,53
NVR,2025-09-09 12:00:00+00:00,8276.25,8543.0,-3.122439424089898,177.57180273430671,14973.0,9334.0,23763.0,0,0,,1.60413541889865,0.6300972099482388,3.122439424089898,14978.356672052938,54
