ticker,ticker_id,price,previous_close,gap_percent,avg_daily_volume,premarket_volume,dollar_volume,atr,atr_percent,market_cap,fetch_time,pm_vol_ratio_score,atr_percent_score,dollar_vol_score,pm_vol_abs_score,price_atr_bonus,gap_magnitude_score,interest_score,rank,scan_time,ticker_list
NKE,NKE.100125,73.04,69.55,5.017972681524096,11101524.421052631,492250.0,774109297.88,1.5673771769178662,2.247780262323055,,2025-10-01 11:51:19.786382+00:00,4.434075729874632,2.247780262323055,100.0,94.86977678455527,100.0,0.0,36.82,1,2025-10-01 11:51:19.786382+00:00,sp500
NVDA,NVDA.100125,185.48,181.85,1.996150673632112,127866592.31578948,1952566.0,23857348794.280003,5.1377512906605824,2.753645241001491,,2025-10-01 11:51:19.786382+00:00,1.5270337346425782,2.753645241001491,100.0,100.0,100.0,0.0,36.3,2,2025-10-01 11:51:19.786382+00:00,sp500
TSLA,TSLA.100125,443.32,443.21,0.024818934590829102,71151260.42105263,601957.0,31642388534.45053,17.26332295521929,3.881840923551738,,2025-10-01 11:51:19.786382+00:00,0.8460243661711572,3.881840923551738,100.0,96.32610317642992,100.0,0.0,35.94,3,2025-10-01 11:51:19.786382+00:00,sp500
PFE,PFE.100125,25.61,23.85,7.379454926624729,41955250.684210524,606872.0,1069019787.4336841,0.5914114449929877,2.3210810243052893,,2025-10-01 11:51:19.786382+00:00,1.4464744939025969,2.3210810243052893,100.0,96.38496360001952,100.0,0.0,35.8,4,2025-10-01 11:51:19.786382+00:00,sp500
PLTR,PLTR.100125,181.14,178.86,1.2747400201274586,38730053.684210524,402970.0,7065136393.073684,6.216389377070763,3.4077345560085313,,2025-10-01 11:51:19.786382+00:00,1.0404581498534893,3.4077345560085313,100.0,93.42122988427283,100.0,0.0,35.61,5,2025-10-01 11:51:19.786382+00:00,sp500
INTC,INTC.100125,33.41,34.48,-3.10324825986079,119603855.4736842,895621.0,4012709351.1421046,1.7908779635830894,5.337937298310251,,2025-10-01 11:51:19.786382+00:00,0.7488228506120848,5.337937298310251,100.0,99.20207921698592,0.0,0.0,31.55,6,2025-10-01 11:51:19.786382+00:00,sp500
