rank,ticker,current_price,gap_percent,current_overnight_volume,relative_overnight_volume,relative_volume,short_interest,days_to_cover,ranking_score,atr,prior_close
1,NVDA,175.51,2.7816818927149214,150526975.0,1.012620070761857,0.5394522012808608,0.0,0.0,143.1798230674253,5.348848591891407,170.76
2,PLTR,166.13,2.3220004927321884,58729102.0,1.2863100568468815,0.5805375110267239,0.0,0.0,102.01096311151389,8.127690368613735,162.36
3,ORCL,318.5,31.878597159537915,42187747.0,2.398102868020446,1.0644014687657681,0.0,0.0,327.5427315338219,7.813889124040667,241.51
4,AMD,162.3,4.158644589911448,41750845.0,1.0464362411407493,0.5381159466241029,0.0,0.0,76.80680314404738,6.0667035695769345,155.82
5,AVGO,345.0,2.4742329283868427,24401890.0,0.6373591574743653,0.4056463324872993,0.0,0.0,16.162605565193733,15.908878313945356,336.67
6,ANET,145.85,2.7764075822704513,5898551.0,0.9119332276158544,0.4973464265945028,0.0,0.0,34.32435236917913,4.237252593642031,141.91
7,VST,199.6,3.0034059242439843,4358634.0,1.2106660889201835,0.5648502250130306,0.0,0.0,61.275933167074875,7.492092124315896,193.78
8,SNPS,464.93,-23.071959230272846,2155627.0,1.909652322896937,0.8415132213828189,0.0,0.0,209.39749291221216,15.024327127423165,604.37
9,CEG,309.0,2.7192340934778296,1818306.0,1.0023284504228585,0.5087489819038391,0.0,0.0,38.266894955472914,9.761429632853492,300.82
10,GEV,623.5,2.9387485553904495,1611385.0,0.7035113462671072,0.4223975544018198,0.0,0.0,8.791851050934875,24.700626813033253,605.7
11,ADI,255.9,3.110645499234426,1510188.0,0.8614842952709258,0.46588266216019864,6.779999999999999,2.26,124.87880415620882,6.684592074945895,248.18
12,CDNS,345.1,-4.607900046991171,1005429.0,0.6763087548986239,0.4166517481961083,0.0,0.0,11.616723046077912,7.416220779239353,361.77
