rank,ticker,current_price,gap_percent,current_overnight_volume,relative_overnight_volume,relative_volume,short_interest,days_to_cover,ranking_score,atr,prior_close
1,NVDA,178.4101,4.480030452096515,56268124.0,0.37380757834268574,0.29743407118595283,0.0,0.0,160.906267211611,4.845141156786681,170.76
2,ORCL,338.86,40.30888990103931,46262514.0,1.0965865041335343,0.6754645647125883,0.0,0.0,317.45637095958836,8.675241910609584,241.51
3,AMD,160.235,2.8333975099473885,12182997.0,0.29180240543634506,0.2415012999504965,0.0,0.0,67.18224898546974,5.861039225443848,155.82
4,PLTR,164.9174,1.5751416605074973,11885635.0,0.2023806698083005,0.1753384515165442,0.0,0.0,50.56348055616202,7.460347577963978,162.36
5,AAPL,229.605,-2.0247493065927054,11057677.0,0.18448204119642017,0.16040444628350334,5.1,1.7,147.4297814780274,3.761212067616505,234.35
6,AVGO,358.515,6.488549618320602,9430972.0,0.38648530912974366,0.2926686457262058,0.0,0.0,82.70664124776832,17.457441134141416,336.67
7,AMZN,231.62,-2.778710543989256,8351662.0,0.34632510021835705,0.2657766649273163,0.0,0.0,65.9374376351542,4.521630316710925,238.24
8,MU,140.44,3.8450162673765074,5556390.0,0.28169191880785155,0.22750766914403053,0.0,0.0,55.648985230297356,4.860947064801117,135.24
9,SNPS,393.1756,-34.944553832916924,4857300.0,2.2533119134247253,0.7710951017292133,0.0,0.0,294.9781576229877,15.261792617458308,604.37
10,UNH,343.4743,-1.2777937456886606,3023615.0,0.06758840919522378,0.06836251405945361,0.0,0.0,13.658076561548265,11.43587947897682,347.92
11,ANET,147.26,3.7699950672961697,2815001.0,0.4772360194902104,0.341669748571208,0.0,0.0,74.67601870704225,4.222217142135483,141.91
12,META,752.7,-1.697792869269949,2333429.0,0.2424674093000381,0.21109334481634048,0.0,0.0,40.49392599822714,13.832567284634024,765.7
13,XOM,112.16,1.3646633529145873,1402284.0,0.1124674786585652,0.10373455309930024,0.0,0.0,17.75643501576762,2.17608701879415,110.65
14,CVX,157.23,1.5369712625121057,1052088.0,0.1681917763019065,0.14592884261475955,0.0,0.0,25.733230723863088,2.8280832509374143,154.85
15,PANW,202.574,2.5431536319919013,1019789.0,0.2657038727317352,0.22399948161945596,0.0,0.0,43.08480344766906,3.8777574311374803,197.55
16,VST,204.795,5.68428114356486,982762.0,0.22547477030647675,0.19250155135453623,0.0,0.0,44.982549102060176,8.417106905422505,193.78
17,SCHW,92.63,-1.110280772926237,976703.0,0.10561759066545366,0.09614073929412617,0.0,0.0,15.026717618529965,3.001706606072757,93.67
18,CDNS,329.865,-8.81913923210879,902283.0,0.8974109559203086,0.4934247979206098,0.0,0.0,123.34390198896592,8.064339842054192,361.77
19,HUM,259.655,-4.895245769540697,867832.0,0.18758033959046397,0.15913942450425717,0.0,0.0,36.59460072076545,12.669916018248644,273.02
20,DLTR,97.99,1.7549325025960516,600146.0,0.08768900419460586,0.08133378814964974,0.0,0.0,13.2073421018739,3.870283635462157,96.3
21,GEV,633.9201,4.6590886577513615,585354.0,0.36326141797273775,0.2730254473743373,0.0,0.0,58.65279428126139,26.487018002215716,605.7
22,CEG,316.145,5.094408616448371,518157.0,0.2849668867616342,0.22409657625365237,0.0,0.0,49.56400446888621,11.64600825270569,300.82
23,ENPH,38.695,1.989984185556148,515499.0,0.06037047989061855,0.057646108567011134,0.0,0.0,9.251754971564317,2.0881291602082843,37.94
24,ALB,73.815,1.7015706806282715,489955.0,0.037847596441443,0.037951402715850416,0.0,0.0,4.819836722935162,4.4596312218589995,72.58
25,V,340.45,-1.0290996831303296,454034.0,0.12038217151584008,0.10790853273923122,0.0,0.0,16.132303130199084,6.366101081702271,343.99
26,TPR,103.07,-2.006084806997541,451453.0,0.17783850346417412,0.15238842672526554,0.0,0.0,27.159048917541153,2.582793723279731,105.18
27,APO,136.59,1.6143431037048177,428764.0,0.12778529314553755,0.12377531393157895,0.0,0.0,20.037098571754278,3.725902121122602,134.42
28,ETN,360.3,3.4660999913850024,413879.0,0.32506326449507,0.2475342507537349,0.0,0.0,50.17824690899425,7.595430208712862,348.23
29,UAL,107.35,1.6090866067202918,351176.0,0.07007879813831491,0.06612114251285045,0.0,0.0,9.56283290850535,3.017707143891351,105.65
30,CRWD,432.27,2.068428136289578,327421.0,0.181297238633658,0.15564009419567182,0.0,0.0,27.688650162120062,13.686958961217234,423.51
31,BX,177.94,2.7545186810648556,310703.0,0.12123145307389195,0.10873371416012853,0.0,0.0,20.417466229479004,4.128524918764469,173.17
32,JCI,108.635,2.2062282434848046,269304.0,0.10005751456812802,0.09099294705323059,0.0,0.0,15.618606398880821,2.7453372142316192,106.29
33,INTU,661.54,-1.3936710936219086,261350.0,0.2475596876021237,0.1988473170638921,0.0,0.0,34.62367124536195,11.152941901730571,670.89
34,MCD,308.81,-1.1871240240624537,250772.0,0.13207736974469036,0.11709699636949442,0.0,0.0,17.93059239511068,3.6901359336980217,312.52
35,NRG,157.57,3.487455667936426,249585.0,0.15880343076746878,0.1377358855001642,0.0,0.0,27.750573203024597,5.1237019816739195,152.26
36,COP,93.09,1.3389941214892271,239055.0,0.04859335298302673,0.046541650937325936,0.0,0.0,5.0857033505905775,2.403626028863307,91.86
37,QRVO,89.085,-3.284116816849425,174766.0,0.09864834506092213,0.09019384611732333,0.0,0.0,18.023320226735045,2.3582627389667707,92.11
38,DLR,170.975,4.265764117575317,171717.0,0.10769791373981455,0.09770037119051792,0.0,0.0,21.929163188195844,3.402257452408586,163.98
