ticker,ticker_id,price,previous_close,gap_percent,avg_daily_volume,premarket_volume,dollar_volume,atr,atr_percent,market_cap,fetch_time,pm_vol_ratio_score,atr_percent_score,dollar_vol_score,pm_vol_abs_score,price_atr_bonus,gap_magnitude_score,interest_score,rank,scan_time,ticker_list
TSLA,TSLA.092625,426.89,442.79,-3.590867002416503,77849904.8888889,1837110.0,32960871230.90667,17.22043621268168,4.0672751393943365,,2025-09-26 12:11:12.316483+00:00,2.3598102048063017,4.0672751393943365,100.0,100.0,100.0,0.0,36.96,1,2025-09-26 12:11:12.316483+00:00,sp500
NVDA,NVDA.092625,177.7001,176.97,0.41255580041814605,141676436.33333334,1933017.0,25174485972.07,5.22504005016129,2.940536918319146,,2025-09-26 12:11:12.316483+00:00,1.3643884967942292,2.940536918319146,100.0,100.0,100.0,0.0,36.28,2,2025-09-26 12:11:12.316483+00:00,sp500
MU,MU.092625,158.1,161.71,-2.232391317791116,23920897.055555556,376157.0,3751514285.2227783,6.149433623895893,3.9210824611974067,,2025-09-26 12:11:12.316483+00:00,1.5725037364877528,3.9210824611974067,100.0,92.9228383780048,100.0,0.0,35.9,3,2025-09-26 12:11:12.316483+00:00,sp500
PLTR,PLTR.092625,179.1775,179.56,-0.21302071730897368,45714397.0,360492.0,8188362790.64,7.217655403946428,4.029508376477461,,2025-09-26 12:11:12.316483+00:00,0.7885743303143646,4.029508376477461,100.0,92.61494726785021,100.0,0.0,35.58,4,2025-09-26 12:11:12.316483+00:00,sp500
AAPL,AAPL.092625,254.68,252.31,0.9393206769450299,51594718.61111111,363814.0,13253135369.636112,5.583875112210797,2.173813645895121,,2025-09-26 12:11:12.316483+00:00,0.7051380641150571,2.173813645895121,100.0,92.68134334912884,100.0,0.0,35.09,5,2025-09-26 12:11:12.316483+00:00,sp500
INTC,INTC.092625,35.37,31.22,13.292761050608581,107603979.72222222,7135324.0,3657459270.7583337,1.7975297819743234,5.288407713957997,,2025-09-26 12:11:12.316483+00:00,6.6310967479267156,5.288407713957997,100.0,100.0,0.0,0.0,33.97,6,2025-09-26 12:11:12.316483+00:00,sp500
ORCL,ORCL.092625,292.0,308.46,-5.336186215392589,36178345.38888889,368202.0,10539837362.144999,17.079997558002784,5.8627664703267035,,2025-09-26 12:11:12.316483+00:00,1.017741403157377,5.8627664703267035,100.0,92.76812204457696,0.0,0.0,31.15,7,2025-09-26 12:11:12.316483+00:00,sp500
