ticker,ticker_id,price,previous_close,gap_percent,avg_daily_volume,premarket_volume,dollar_volume,atr,atr_percent,market_cap,fetch_time,pm_vol_ratio_score,atr_percent_score,dollar_vol_score,pm_vol_abs_score,price_atr_bonus,gap_magnitude_score,interest_score,rank,scan_time,ticker_list
NVDA,NVDA.111225,196.01,199.05,-1.5272544586787342,132699636.65,1656479.0,25632261815.314,8.511002853210568,4.406193235250864,,2025-11-12 12:28:53.718434+00:00,1.2482920389367924,4.406193235250864,100.0,100.0,100.0,0.0,36.6,1,2025-11-12 12:28:53.718434+00:00,sp500
INTC,INTC.111225,38.15,38.45,-0.7802340702210774,70133724.05,339192.0,2656665467.014,1.6809453840462656,4.437553812160152,,2025-11-12 12:28:53.718434+00:00,0.48363608890664633,4.437553812160152,100.0,92.1741146841185,100.0,0.0,35.52,2,2025-11-12 12:28:53.718434+00:00,sp500
AMD,AMD.111225,250.22,243.98,2.5575866874334,34817456.2,773047.0,8269842196.6240015,12.629853842213814,5.317385416897025,,2025-11-12 12:28:53.718434+00:00,2.220285696805156,5.317385416897025,100.0,98.13677434857256,0.0,0.0,32.03,3,2025-11-12 12:28:53.718434+00:00,sp500
