ticker,ticker_id,price,previous_close,gap_percent,avg_daily_volume,premarket_volume,dollar_volume,atr,atr_percent,market_cap,fetch_time,pm_vol_ratio_score,atr_percent_score,dollar_vol_score,pm_vol_abs_score,price_atr_bonus,gap_magnitude_score,interest_score,rank,scan_time,ticker_list
MS,MS.101525,161.35,155.13,4.009540385483143,3605628.1578947366,556600.0,560098278.0473684,4.100395270654271,2.6396261559509924,,2025-10-15 12:57:44.363359+00:00,15.436977292882831,2.6396261559509924,100.0,95.75906637100826,100.0,0.0,41.41,1,2025-10-15 12:57:44.363359+00:00,sp500
BAC,BAC.101525,51.74,48.86,5.894392140810485,18567674.05263158,2081964.0,930054793.2963159,1.145296120990761,2.286476584130088,,2025-10-15 12:57:44.363359+00:00,11.212842244529412,2.286476584130088,100.0,100.0,100.0,0.0,40.06,2,2025-10-15 12:57:44.363359+00:00,sp500
NVDA,NVDA.101525,184.93,188.32,-1.8001274426508,119247186.21052632,4991508.0,21468070933.481052,7.94614781627656,4.413790932775959,,2025-10-15 12:57:44.363359+00:00,4.185849711529197,4.413790932775959,100.0,100.0,100.0,0.0,37.78,3,2025-10-15 12:57:44.363359+00:00,sp500
PFE,PFE.101525,24.48,24.73,-1.0109179134654267,46724925.05263158,596170.0,1145695162.2905264,0.6264642419860876,2.554911264217323,,2025-10-15 12:57:44.363359+00:00,1.275914299120793,2.554911264217323,100.0,96.25618077488615,100.0,0.0,35.77,4,2025-10-15 12:57:44.363359+00:00,sp500
AMD,AMD.101525,223.61,216.42,3.322243785232431,58407550.10526316,896827.0,12738102602.456842,14.895376556304049,6.8299218470833365,,2025-10-15 12:57:44.363359+00:00,1.5354641623963372,6.8299218470833365,100.0,99.21181931618365,0.0,0.0,32.24,5,2025-10-15 12:57:44.363359+00:00,sp500
INTC,INTC.101525,36.29,37.22,-2.498656636217087,94983341.78947368,1163632.0,3384256467.9589477,2.221597246778159,6.235187333084925,,2025-10-15 12:57:44.363359+00:00,1.2250906086028623,6.235187333084925,100.0,100.0,0.0,0.0,32.05,6,2025-10-15 12:57:44.363359+00:00,sp500
TSLA,TSLA.101525,434.41,435.9,-0.3418215186969379,64014744.94736842,889575.0,27477689121.20842,23.724494176235947,5.527093042641866,,2025-10-15 12:57:44.363359+00:00,1.3896407784353275,5.527093042641866,100.0,99.15305095836972,0.0,0.0,31.85,7,2025-10-15 12:57:44.363359+00:00,sp500
PLTR,PLTR.101525,182.35,177.21,2.900513515038647,34482766.421052635,421995.0,6197932436.52,9.67993428989056,5.38552035712171,,2025-10-15 12:57:44.363359+00:00,1.2237852231669004,5.38552035712171,100.0,93.75513890677985,0.0,0.0,31.21,8,2025-10-15 12:57:44.363359+00:00,sp500
