ticker,ticker_id,price,previous_close,gap_percent,avg_daily_volume,premarket_volume,dollar_volume,atr,atr_percent,market_cap,fetch_time,pm_vol_ratio_score,atr_percent_score,dollar_vol_score,pm_vol_abs_score,price_atr_bonus,gap_magnitude_score,interest_score,rank,scan_time,ticker_list
EA,EA.092925,203.33,168.32,20.79966730038024,2922984.411764706,1422953.0,565159036.0147059,7.253228621483466,3.751346584682423,,2025-09-29 12:46:19.560321+00:00,48.68151175465607,3.751346584682423,100.0,100.0,100.0,0.0,55.41,1,2025-09-29 12:46:19.560321+00:00,sp500
K,K.092925,81.7,77.07,6.00752562605425,2465304.470588235,628590.0,192145830.43764704,0.6921686480314325,0.888078840173765,,2025-09-29 12:46:19.560321+00:00,25.49745913737036,0.888078840173765,100.0,96.6394693102055,0.0,0.0,40.08,2,2025-09-29 12:46:19.560321+00:00,sp500
CCL,CCL.092925,31.4,30.48,3.0183727034120675,15767706.705882354,728613.0,482807179.3341177,0.919570195083212,3.003168501251509,,2025-09-29 12:46:19.560321+00:00,4.620919285162637,3.003168501251509,100.0,97.70829186274979,100.0,0.0,37.37,3,2025-09-29 12:46:19.560321+00:00,sp500
MU,MU.092925,159.42,156.83,1.6514697443091082,24377856.647058822,771657.0,3833905514.8829412,5.758109066058372,3.6612889082840794,,2025-09-29 12:46:19.560321+00:00,3.165401336023937,3.6612889082840794,100.0,98.12374771669178,100.0,0.0,36.99,4,2025-09-29 12:46:19.560321+00:00,sp500
TSLA,TSLA.092925,446.41,423.39,5.437067479156343,80817774.52941176,1721224.0,35592147902.75294,17.302313147055507,3.9287722858890803,,2025-09-29 12:46:19.560321+00:00,2.1297592145074478,3.9287722858890803,100.0,100.0,100.0,0.0,36.83,5,2025-09-29 12:46:19.560321+00:00,sp500
NVDA,NVDA.092925,180.04,177.69,1.3225279981991076,139848944.7647059,3205907.0,24919683467.622944,5.12114519745664,2.873980132137965,,2025-09-29 12:46:19.560321+00:00,2.2924070005632853,2.873980132137965,100.0,100.0,100.0,0.0,36.64,6,2025-09-29 12:46:19.560321+00:00,sp500
PLTR,PLTR.092925,179.46,179.12,0.1898168825368487,44596026.88235294,475502.0,7918916493.499412,7.0824127188332895,3.9885187356159766,,2025-09-29 12:46:19.560321+00:00,1.066242966563823,3.9885187356159766,100.0,94.6192210215511,100.0,0.0,35.89,7,2025-09-29 12:46:19.560321+00:00,sp500
AMZN,AMZN.092925,221.73,218.15,1.6410726564290552,38075474.5882353,368760.0,8368227805.002354,5.024062853838126,2.285950884447232,,2025-09-29 12:46:19.560321+00:00,0.9684974487854208,2.285950884447232,100.0,92.77908306697026,100.0,0.0,35.24,8,2025-09-29 12:46:19.560321+00:00,sp500
AAPL,AAPL.092925,255.0,256.87,-0.7279947054930527,50556928.23529412,328507.0,12915272886.988235,5.5373124523446045,2.16758492615071,,2025-09-29 12:46:19.560321+00:00,0.6497764232651049,2.16758492615071,100.0,91.9424325032126,100.0,0.0,35.0,9,2025-09-29 12:46:19.560321+00:00,sp500
INTC,INTC.092925,34.5101,33.99,1.5301559282141786,124246270.29411764,4954991.0,4410742595.441176,1.8646007035893566,5.252396348139032,,2025-09-29 12:46:19.560321+00:00,3.9880400339345963,5.252396348139032,100.0,100.0,0.0,0.0,32.91,10,2025-09-29 12:46:19.560321+00:00,sp500
