ticker,ticker_id,price,previous_close,gap_percent,avg_daily_volume,premarket_volume,dollar_volume,atr,atr_percent,market_cap,fetch_time,pm_vol_ratio_score,atr_percent_score,dollar_vol_score,pm_vol_abs_score,price_atr_bonus,gap_magnitude_score,interest_score,rank,scan_time,ticker_list
TSLA,TSLA.102025,443.34,428.75,3.402915451895038,70522480.94117647,875340.0,30981231102.268238,21.682217806726033,4.935516561591139,,2025-10-20 12:08:24.441981+00:00,1.2412212223930836,4.935516561591139,100.0,99.03628784691605,100.0,0.0,36.63,1,2025-10-20 12:08:24.441981+00:00,sp500
NVDA,NVDA.102025,182.73,181.81,0.5060227710246892,132611019.23529412,2324134.0,24296990944.29059,6.842793152075749,3.73474137762021,,2025-10-20 12:08:24.441981+00:00,1.7525949301967487,3.73474137762021,100.0,100.0,100.0,0.0,36.63,2,2025-10-20 12:08:24.441981+00:00,sp500
AMZN,AMZN.102025,213.12,214.47,-0.6294586655476264,34527579.941176474,549958.0,7355755630.668236,6.387618092644932,2.998318669097321,,2025-10-20 12:08:24.441981+00:00,1.5928078392315526,2.998318669097321,100.0,95.67217189346552,100.0,0.0,35.95,3,2025-10-20 12:08:24.441981+00:00,sp500
AAPL,AAPL.102025,256.15,247.45,3.515861790260654,32375068.588235293,425062.0,8167906054.125882,5.798506298689686,2.298349636802761,,2025-10-20 12:08:24.441981+00:00,1.3129300370176278,2.298349636802761,100.0,93.80755505082521,100.0,0.0,35.48,4,2025-10-20 12:08:24.441981+00:00,sp500
SMCI,SMCI.102025,54.25,53.84,0.7615156017830546,24579566.88235294,505970.0,1282561799.9211764,3.4494904883227115,6.610752181530685,,2025-10-20 12:08:24.441981+00:00,2.0584984366151073,6.610752181530685,100.0,95.06876042885503,0.0,0.0,31.98,5,2025-10-20 12:08:24.441981+00:00,sp500
INTC,INTC.102025,37.5902,36.84,2.0363735070575446,91804187.64705883,814088.0,3397672984.817647,2.1950151699474763,5.930870494319039,,2025-10-20 12:08:24.441981+00:00,0.8867656485668834,5.930870494319039,100.0,98.51119810966016,0.0,0.0,31.69,6,2025-10-20 12:08:24.441981+00:00,sp500
AMD,AMD.102025,237.21,234.56,1.1297748976807664,73172941.05882353,667576.0,17055149101.99059,13.752498626076173,5.90033405958305,,2025-10-20 12:08:24.441981+00:00,0.912326319456447,5.90033405958305,100.0,97.07502275894896,0.0,0.0,31.55,7,2025-10-20 12:08:24.441981+00:00,sp500
MU,MU.102025,209.75,202.53,3.5649039648447136,20818858.70588235,414433.0,4213320624.89647,10.814345429929936,5.343584064596272,,2025-10-20 12:08:24.441981+00:00,1.990661475995811,5.343584064596272,100.0,93.62425629241294,0.0,0.0,31.49,8,2025-10-20 12:08:24.441981+00:00,sp500
