ticker,ticker_id,price,previous_close,gap_percent,avg_daily_volume,premarket_volume,dollar_volume,atr,atr_percent,market_cap,fetch_time,pm_vol_ratio_score,atr_percent_score,dollar_vol_score,pm_vol_abs_score,price_atr_bonus,gap_magnitude_score,interest_score,rank,scan_time,ticker_list
TSLA,TSLA.102325,422.92,442.6,-4.446452779032988,60744055.76470588,1556286.0,26664818159.032944,16.715175868801126,3.80781736082218,,2025-10-23 12:23:46.060296+00:00,2.5620383433538345,3.80781736082218,100.0,100.0,100.0,0.0,36.98,1,2025-10-23 12:23:46.060296+00:00,sp500
OXY,OXY.102325,43.0028,40.91,5.115619652896612,7844351.352941177,365820.0,327344781.95823526,0.9642615714275695,2.3107154838906534,,2025-10-23 12:23:46.060296+00:00,4.663483104474135,2.3107154838906534,100.0,92.72114387641243,100.0,0.0,36.72,2,2025-10-23 12:23:46.060296+00:00,sp500
DOW,DOW.102325,23.2503,21.75,6.897931034482756,9336511.411764706,300232.0,202602297.6352941,0.68985497526399,3.1790551855483415,,2025-10-23 12:23:46.060296+00:00,3.215676463713043,3.1790551855483415,100.0,91.29097376415713,100.0,0.0,36.21,3,2025-10-23 12:23:46.060296+00:00,sp500
NVDA,NVDA.102325,179.49,181.16,-0.9218370501214327,130657099.64705883,1234773.0,23554861924.371765,5.579123340524912,3.0946989907504507,,2025-10-23 12:23:46.060296+00:00,0.9450485303404601,3.0946989907504507,100.0,100.0,100.0,0.0,36.15,4,2025-10-23 12:23:46.060296+00:00,sp500
MU,MU.102325,192.56,202.29,-4.809926343368427,18627050.11764706,486141.0,3696910636.849412,10.135836684366023,5.106986791135196,,2025-10-23 12:23:46.060296+00:00,2.609865743258163,5.106986791135196,100.0,94.77938572257486,0.0,0.0,31.8,5,2025-10-23 12:23:46.060296+00:00,sp500
INTC,INTC.102325,36.39,38.12,-4.538300104931786,80220872.41176471,754219.0,2961754609.4423532,1.957543442163854,5.302121999360384,,2025-10-23 12:23:46.060296+00:00,0.9401780076993912,5.302121999360384,100.0,97.95830074349348,0.0,0.0,31.5,6,2025-10-23 12:23:46.060296+00:00,sp500
