phase,bar_sequence,is_winner,avg_value,trade_count
ramp_up,0,False,5403.668173418621,1407
ramp_up,0,True,1909.9488328313253,1328
ramp_up,1,False,3351.6252594171997,1407
ramp_up,1,True,4403.747944277108,1328
ramp_up,2,False,5012.062736318408,1407
ramp_up,2,True,13330.13076807229,1328
ramp_up,3,False,3053.0973702914002,1407
ramp_up,3,True,11544.994262048192,1328
ramp_up,4,False,7231.201883439943,1407
ramp_up,4,True,14303.189322289158,1328
ramp_up,5,False,10681.895743772242,1405
ramp_up,5,True,12810.138667168674,1328
ramp_up,6,False,12841.983387900356,1405
ramp_up,6,True,12332.190512048193,1328
ramp_up,7,False,16244.552122507122,1404
ramp_up,7,True,4841.210293674699,1328
ramp_up,8,False,18956.01512838802,1402
ramp_up,8,True,-3596.6631475903614,1328
ramp_up,9,False,24187.65022127052,1401
ramp_up,9,True,-7586.641242469879,1328
ramp_up,10,False,25410.370664285714,1400
ramp_up,10,True,-7785.797081447964,1326
ramp_up,11,False,27127.37207857143,1400
ramp_up,11,True,-12004.346433990895,1318
ramp_up,12,False,24282.928428571428,1400
ramp_up,12,True,-8345.345538694992,1318
ramp_up,13,False,18616.6543490701,1398
ramp_up,13,True,-105.64901290812452,1317
ramp_up,14,False,15524.281931330472,1398
ramp_up,14,True,2671.9010782080486,1317
ramp_up,15,False,10857.62729226361,1396
ramp_up,15,True,5255.645429657795,1315
ramp_up,16,False,6830.474577363897,1396
ramp_up,16,True,10028.652380228137,1315
ramp_up,17,False,9203.604742120344,1396
ramp_up,17,True,13167.235954372623,1315
ramp_up,18,False,15111.703793103448,1392
ramp_up,18,True,14798.96969581749,1315
ramp_up,19,False,8927.567237410072,1390
ramp_up,19,True,19717.97791634981,1315
ramp_up,20,False,9923.894553314121,1388
ramp_up,20,True,19922.51207762557,1314
ramp_up,21,False,14672.832672910663,1388
ramp_up,21,True,27913.045799086758,1314
ramp_up,22,False,12332.017128427127,1386
ramp_up,22,True,24198.386552511416,1314
ramp_up,23,False,9782.003189033188,1386
ramp_up,23,True,21611.866156773212,1314
ramp_up,24,False,10705.260779220778,1386
ramp_up,24,True,19320.850175038053,1314
post_trade,0,False,19567.63066808813,1407
post_trade,0,True,48962.54170933735,1328
post_trade,1,False,-5174.010376687988,1407
post_trade,1,True,61921.32953313253,1328
post_trade,2,False,-20252.31542288557,1407
post_trade,2,True,72979.22608433735,1328
post_trade,3,False,-35934.60299218195,1407
post_trade,3,True,77561.25493222891,1328
post_trade,4,False,-44352.87569296375,1407
post_trade,4,True,85135.58397590362,1328
post_trade,5,False,-65784.44980099502,1407
post_trade,5,True,59215.81493222892,1328
post_trade,6,False,-53715.31597725657,1407
post_trade,6,True,42447.899164156624,1328
post_trade,7,False,-45724.79019189766,1407
post_trade,7,True,35797.875248493976,1328
post_trade,8,False,-35750.20714285714,1407
post_trade,8,True,32692.934947289155,1328
post_trade,9,False,-31256.94970859986,1407
post_trade,9,True,24357.678079819278,1328
post_trade,10,False,-26092.26174840085,1407
post_trade,10,True,25692.955406626505,1328
post_trade,11,False,-18620.10304193319,1407
post_trade,11,True,22850.381972891566,1328
post_trade,12,False,-16191.801257995736,1407
post_trade,12,True,19726.374766566267,1328
post_trade,13,False,-14602.879104477612,1407
post_trade,13,True,15923.626325301206,1328
post_trade,14,False,-13282.827306325515,1407
post_trade,14,True,17095.29361445783,1328
post_trade,15,False,-10960.913091684435,1407
post_trade,15,True,10559.754277108434,1328
post_trade,16,False,-11756.509132906895,1407
post_trade,16,True,9762.889894578313,1328
post_trade,17,False,-14775.458351101635,1407
post_trade,17,True,6689.03500753012,1328
post_trade,18,False,-16232.281122956645,1407
post_trade,18,True,9121.583637048192,1328
post_trade,19,False,-11581.54856432125,1407
post_trade,19,True,7180.892274096385,1328
post_trade,20,False,-9999.640845771144,1407
post_trade,20,True,9294.40141566265,1328
post_trade,21,False,-10321.459196872778,1407
post_trade,21,True,5643.48593373494,1328
post_trade,22,False,-6433.362331201137,1407
post_trade,22,True,6662.606957831325,1328
post_trade,23,False,-6463.522885572139,1407
post_trade,23,True,10718.871935240964,1328
post_trade,24,False,-6694.376112295665,1407
post_trade,24,True,11519.657643072289,1328
