bar_sequence,is_winner,avg_candle_range,avg_vol_delta,avg_vol_delta_norm,avg_vol_roc,avg_sma_spread,avg_cvd_slope,trade_count
0,False,0.3045441656005686,19567.63066808813,0.2705084855233853,511.99571310541313,0.16906179202279203,0.027941918149466193,1407
0,True,0.32178823493975905,48962.54170933735,0.37215186497890296,320.6838052990159,0.19999085844057532,0.058209460090361445,1328
1,False,0.2757618656716418,-5174.010376687988,0.1285687683741648,19.643520014245013,0.17070899643874643,0.031146717839374557,1407
1,True,0.27935430421686747,61921.32953313253,0.4676011603375527,28.906212509419746,0.1975785395629239,0.07202607605421686,1328
2,False,0.2586933354655295,-20252.31542288557,-0.027001733853006683,18.063553276353275,0.16997957834757835,0.027752326936744846,1407
2,True,0.2620718780120482,72979.22608433735,0.6155929535864979,14.973079201205728,0.19632364431047475,0.08931488704819276,1328
3,False,0.2522985408670931,-35934.60299218195,-0.22170043652561247,11.503054843304843,0.16794964672364673,0.015190145700071073,1407
3,True,0.26936405346385545,77561.25493222891,0.6475113783403657,13.561375150602409,0.1991159548192771,0.10448442018072289,1328
4,False,0.2457997526652452,-44352.87569296375,-0.33834746213808464,7.603314743589744,0.16780954273504273,-0.002297275053304904,1407
4,True,0.2590757371987952,85135.58397590362,0.8129240464135021,4.105282680722891,0.20235211822289156,0.12136536596385541,1328
5,False,0.23552521677327648,-65784.44980099502,-0.6027702995545657,3.704372792022792,0.17052618233618233,-0.0237528315565032,1407
5,True,0.24726723945783133,59215.81493222892,0.6547766680731364,2.389664307228916,0.2056068125,0.13646050828313253,1328
6,False,0.225553078891258,-53715.31597725657,-0.623730556792873,-1.7148441992882562,0.17426200071174378,-0.04738477825159915,1407
6,True,0.24349140361445784,42447.899164156624,0.5647649324894515,1.3547798945783134,0.21018976882530122,0.14986833734939758,1328
7,False,0.2275248670931059,-45724.79019189766,-0.6196009554565701,-3.28402828713575,0.18078152665245203,-0.07018409665955935,1407
7,True,0.24644193373493975,35797.875248493976,0.48465072151898736,-1.573663403614458,0.21475874472891565,0.1609301950301205,1328
8,False,0.2304602444918266,-35750.20714285714,-0.5236269933184855,-1.6430425728500355,0.18423199431414355,-0.08898119402985075,1407
8,True,0.2346271483433735,32692.934947289155,0.5231054866385373,-4.373337198795181,0.219657109186747,0.16868483057228917,1328
9,False,0.22247015493958777,-31256.94970859986,-0.49812721826280626,-2.807633972992182,0.18832696233120114,-0.10806873845060412,1407
9,True,0.23109142695783133,24357.678079819278,0.44966753586497893,-5.971776280120482,0.22065584939759036,0.1720737891566265,1328
10,False,0.21607280454868513,-26092.26174840085,-0.4411204443207127,-4.096411584932481,0.1905195316275764,-0.12295996872778962,1407
10,True,0.2256505971385542,25692.955406626505,0.3871234711673699,-7.850688554216868,0.21702221611445782,0.17289885090361445,1328
11,False,0.21901897583511015,-18620.10304193319,-0.37691622048997775,-5.036451954513148,0.19101397512437812,-0.13295858493248044,1407
11,True,0.23094442771084336,22850.381972891566,0.3496102137834037,-4.482512349397591,0.21336460090361445,0.16978947439759037,1328
12,False,0.21998965742714996,-16191.801257995736,-0.26294483184855233,-2.6780463397299217,0.18992478038379532,-0.13747784790334044,1407
12,True,0.22717551581325302,19726.374766566267,0.3346944149085795,-4.913052861445783,0.20700365512048194,0.158747625,1328
13,False,0.21440160625444207,-14602.879104477612,-0.19876921380846324,-6.074416631130064,0.18691856645344704,-0.13525153873489695,1407
13,True,0.23008738478915663,15923.626325301206,0.26609972433192686,-5.959940135542169,0.20056463554216866,0.13946554819277107,1328
14,False,0.2144104712153518,-13282.827306325515,-0.16979796213808462,-4.713137953091684,0.18315543923240937,-0.13029405756929638,1407
14,True,0.23013335993975903,17095.29361445783,0.2717534894514768,-7.203758132530121,0.1959363343373494,0.11425348343373494,1328
15,False,0.2121374065387349,-10960.913091684435,-0.17519544320712696,-4.547948614072495,0.1803809644633973,-0.11207451457000711,1407
15,True,0.2252962921686747,10559.754277108434,0.19285956540084387,-4.625921460843373,0.19187134789156626,0.0963180828313253,1328
16,False,0.2092061855010661,-11756.509132906895,-0.175792495545657,-4.265281663113006,0.1773160987917555,-0.09223659985785358,1407
16,True,0.21307599397590363,9762.889894578313,0.17245623628691983,-6.100554141566265,0.18761177936746987,0.08241328765060241,1328
17,False,0.2018599488272921,-14775.458351101635,-0.20975367817371937,-3.9323345415778252,0.17573431343283583,-0.07535409665955935,1407
17,True,0.20576013102409638,6689.03500753012,0.1724456976090014,-10.145615060240964,0.18388309638554218,0.07179570557228916,1328
18,False,0.21043044633972993,-16232.281122956645,-0.3036332216035635,-4.798089907604833,0.17559747405828002,-0.06627534683724236,1407
18,True,0.20564225376506023,9121.583637048192,0.216755905766526,-6.364658132530121,0.18143279819277108,0.05915228915662651,1328
19,False,0.20257489765458422,-11581.54856432125,-0.33511647884187085,-4.715858990760483,0.17323525941719972,-0.061117137171286424,1407
19,True,0.19772624774096387,7180.892274096385,0.15425834599156119,-7.776410993975904,0.18084628689759036,0.04994941340361446,1328
20,False,0.2021494960909737,-9999.640845771144,-0.38413639086859686,-3.226611158493248,0.1687978223169865,-0.056329682302771855,1407
20,True,0.20585813253012047,9294.40141566265,0.16371217721518988,-5.7680669427710844,0.17886086746987953,0.04421886219879518,1328
21,False,0.19689987846481877,-10321.459196872778,-0.37170459131403116,-3.5448156361051884,0.1618741933191187,-0.05546624591329069,1407
21,True,0.20080420256024095,5643.48593373494,0.1356035569620253,-7.502344728915663,0.17603122063253013,0.03782810843373494,1328
22,False,0.19586743852167732,-6433.362331201137,-0.30219586191536746,-3.8888638237384505,0.15661693461265103,-0.0566473013503909,1407
22,True,0.20295148042168676,6662.606957831325,0.09956673980309423,-5.685674623493976,0.17601405421686747,0.03207948418674699,1328
23,False,0.19365659701492538,-6463.522885572139,-0.23088867371937638,-2.609299573560768,0.1552107249466951,-0.0570044420753376,1407
23,True,0.194892109186747,10718.871935240964,0.12951982278481014,-3.0152899096385544,0.17689557756024096,0.028749751506024098,1328
24,False,0.19049494811656006,-6694.376112295665,-0.1293865144766147,-2.899725230987918,0.154418670931059,-0.05802516631130064,1407
24,True,0.18824399774096384,11519.657643072289,0.12960911251758087,-6.349069578313253,0.17753162424698796,0.026513652108433736,1328
