phase,bar_sequence,is_winner,avg_value,trade_count
ramp_up,0,False,0.1487818005780347,1384
ramp_up,0,True,0.15752013753799393,1316
ramp_up,1,False,0.15255862093862815,1385
ramp_up,1,True,0.15550626291793312,1316
ramp_up,2,False,0.15625589393939393,1386
ramp_up,2,True,0.15556675455927052,1316
ramp_up,3,False,0.15900006060606062,1386
ramp_up,3,True,0.15699496732522797,1316
ramp_up,4,False,0.16268197113997113,1386
ramp_up,4,True,0.15916986930091184,1316
ramp_up,5,False,0.16483297760115606,1384
ramp_up,5,True,0.1621580319148936,1316
ramp_up,6,False,0.16629677994227995,1386
ramp_up,6,True,0.1647413905775076,1316
ramp_up,7,False,0.16844018759018758,1386
ramp_up,7,True,0.16630979863221884,1316
ramp_up,8,False,0.16771915173410404,1384
ramp_up,8,True,0.1676949255319149,1316
ramp_up,9,False,0.16787465679190752,1384
ramp_up,9,True,0.1686855509118541,1316
ramp_up,10,False,0.1678863764450867,1384
ramp_up,10,True,0.16772294824961947,1314
ramp_up,11,False,0.1675705945165945,1386
ramp_up,11,True,0.16724740974866717,1313
ramp_up,12,False,0.1670493907142857,1400
ramp_up,12,True,0.16652085540334854,1314
ramp_up,13,False,0.1666808590844063,1398
ramp_up,13,True,0.16693850837138507,1314
ramp_up,14,False,0.16732724034334764,1398
ramp_up,14,True,0.17092657382039575,1314
ramp_up,15,False,0.16859050859598854,1396
ramp_up,15,True,0.17774025342465755,1314
ramp_up,16,False,0.16979758667621778,1396
ramp_up,16,True,0.1875811703422053,1315
ramp_up,17,False,0.16987801361031518,1396
ramp_up,17,True,0.19416615209125476,1315
ramp_up,18,False,0.16974627945402299,1392
ramp_up,18,True,0.19955782813688214,1315
ramp_up,19,False,0.16822198776978417,1390
ramp_up,19,True,0.2036427771863118,1315
ramp_up,20,False,0.16757661455331413,1388
ramp_up,20,True,0.2057130418569254,1314
ramp_up,21,False,0.16593045244956772,1388
ramp_up,21,True,0.20717645281582953,1314
ramp_up,22,False,0.1668619523809524,1386
ramp_up,22,True,0.20576295738203956,1314
ramp_up,23,False,0.16688409956709957,1386
ramp_up,23,True,0.20281867656012176,1314
ramp_up,24,False,0.16717831313131312,1386
ramp_up,24,True,0.19948086681887367,1314
post_trade,0,False,0.16906179202279203,1404
post_trade,0,True,0.19999085844057532,1321
post_trade,1,False,0.17070899643874643,1404
post_trade,1,True,0.1975785395629239,1327
post_trade,2,False,0.16997957834757835,1404
post_trade,2,True,0.19632364431047475,1327
post_trade,3,False,0.16794964672364673,1404
post_trade,3,True,0.1991159548192771,1328
post_trade,4,False,0.16780954273504273,1404
post_trade,4,True,0.20235211822289156,1328
post_trade,5,False,0.17052618233618233,1404
post_trade,5,True,0.2056068125,1328
post_trade,6,False,0.17426200071174378,1405
post_trade,6,True,0.21018976882530122,1328
post_trade,7,False,0.18078152665245203,1407
post_trade,7,True,0.21475874472891565,1328
post_trade,8,False,0.18423199431414355,1407
post_trade,8,True,0.219657109186747,1328
post_trade,9,False,0.18832696233120114,1407
post_trade,9,True,0.22065584939759036,1328
post_trade,10,False,0.1905195316275764,1407
post_trade,10,True,0.21702221611445782,1328
post_trade,11,False,0.19101397512437812,1407
post_trade,11,True,0.21336460090361445,1328
post_trade,12,False,0.18992478038379532,1407
post_trade,12,True,0.20700365512048194,1328
post_trade,13,False,0.18691856645344704,1407
post_trade,13,True,0.20056463554216866,1328
post_trade,14,False,0.18315543923240937,1407
post_trade,14,True,0.1959363343373494,1328
post_trade,15,False,0.1803809644633973,1407
post_trade,15,True,0.19187134789156626,1328
post_trade,16,False,0.1773160987917555,1407
post_trade,16,True,0.18761177936746987,1328
post_trade,17,False,0.17573431343283583,1407
post_trade,17,True,0.18388309638554218,1328
post_trade,18,False,0.17559747405828002,1407
post_trade,18,True,0.18143279819277108,1328
post_trade,19,False,0.17323525941719972,1407
post_trade,19,True,0.18084628689759036,1328
post_trade,20,False,0.1687978223169865,1407
post_trade,20,True,0.17886086746987953,1328
post_trade,21,False,0.1618741933191187,1407
post_trade,21,True,0.17603122063253013,1328
post_trade,22,False,0.15661693461265103,1407
post_trade,22,True,0.17601405421686747,1328
post_trade,23,False,0.1552107249466951,1407
post_trade,23,True,0.17689557756024096,1328
post_trade,24,False,0.154418670931059,1407
post_trade,24,True,0.17753162424698796,1328
