phase,bar_sequence,is_winner,avg_value,trade_count
ramp_up,0,False,0.03314020893371758,1388
ramp_up,0,True,0.036077355623100306,1316
ramp_up,1,False,0.03495705403458213,1388
ramp_up,1,True,0.0324421952887538,1316
ramp_up,2,False,0.0401141325648415,1388
ramp_up,2,True,0.026789800151975685,1316
ramp_up,3,False,0.03903994236311239,1388
ramp_up,3,True,0.0216728320668693,1316
ramp_up,4,False,0.03930205403458213,1388
ramp_up,4,True,0.015895635258358663,1316
ramp_up,5,False,0.039811868155619594,1388
ramp_up,5,True,0.007856229719484457,1319
ramp_up,6,False,0.043867373751783165,1402
ramp_up,6,True,0.0034704554380664654,1324
ramp_up,7,False,0.04558115620542083,1402
ramp_up,7,True,-0.0017239924471299094,1324
ramp_up,8,False,0.04639729357142857,1400
ramp_up,8,True,-0.0075089561933534745,1324
ramp_up,9,False,0.05156708714285714,1400
ramp_up,9,True,-0.004366751510574018,1324
ramp_up,10,False,0.056132490714285714,1400
ramp_up,10,True,-0.0067165701357466065,1326
ramp_up,11,False,0.056377505714285715,1400
ramp_up,11,True,-0.008624481790591805,1318
ramp_up,12,False,0.058559384285714285,1400
ramp_up,12,True,-0.009460796661608498,1318
ramp_up,13,False,0.060987730329041485,1398
ramp_up,13,True,-0.010609703872437358,1317
ramp_up,14,False,0.05922761373390558,1398
ramp_up,14,True,-0.01107536674259681,1317
ramp_up,15,False,0.056632113896848135,1396
ramp_up,15,True,-0.007513003802281369,1315
ramp_up,16,False,0.05051781303724928,1396
ramp_up,16,True,-0.005603466159695818,1315
ramp_up,17,False,0.04485548567335244,1396
ramp_up,17,True,-0.0004156912547528517,1315
ramp_up,18,False,0.042269249281609196,1392
ramp_up,18,True,0.011790638022813688,1315
ramp_up,19,False,0.04281614460431655,1390
ramp_up,19,True,0.02055570342205323,1315
ramp_up,20,False,0.03923080403458213,1388
ramp_up,20,True,0.028398961187214612,1314
ramp_up,21,False,0.033938358069164266,1388
ramp_up,21,True,0.03811266286149163,1314
ramp_up,22,False,0.03262125541125541,1386
ramp_up,22,True,0.04601793455098935,1314
ramp_up,23,False,0.028672753246753245,1386
ramp_up,23,True,0.04872477397260274,1314
ramp_up,24,False,0.026142714285714286,1386
ramp_up,24,True,0.04609202511415525,1314
post_trade,0,False,0.027941918149466193,1405
post_trade,0,True,0.058209460090361445,1328
post_trade,1,False,0.031146717839374557,1407
post_trade,1,True,0.07202607605421686,1328
post_trade,2,False,0.027752326936744846,1407
post_trade,2,True,0.08931488704819276,1328
post_trade,3,False,0.015190145700071073,1407
post_trade,3,True,0.10448442018072289,1328
post_trade,4,False,-0.002297275053304904,1407
post_trade,4,True,0.12136536596385541,1328
post_trade,5,False,-0.0237528315565032,1407
post_trade,5,True,0.13646050828313253,1328
post_trade,6,False,-0.04738477825159915,1407
post_trade,6,True,0.14986833734939758,1328
post_trade,7,False,-0.07018409665955935,1407
post_trade,7,True,0.1609301950301205,1328
post_trade,8,False,-0.08898119402985075,1407
post_trade,8,True,0.16868483057228917,1328
post_trade,9,False,-0.10806873845060412,1407
post_trade,9,True,0.1720737891566265,1328
post_trade,10,False,-0.12295996872778962,1407
post_trade,10,True,0.17289885090361445,1328
post_trade,11,False,-0.13295858493248044,1407
post_trade,11,True,0.16978947439759037,1328
post_trade,12,False,-0.13747784790334044,1407
post_trade,12,True,0.158747625,1328
post_trade,13,False,-0.13525153873489695,1407
post_trade,13,True,0.13946554819277107,1328
post_trade,14,False,-0.13029405756929638,1407
post_trade,14,True,0.11425348343373494,1328
post_trade,15,False,-0.11207451457000711,1407
post_trade,15,True,0.0963180828313253,1328
post_trade,16,False,-0.09223659985785358,1407
post_trade,16,True,0.08241328765060241,1328
post_trade,17,False,-0.07535409665955935,1407
post_trade,17,True,0.07179570557228916,1328
post_trade,18,False,-0.06627534683724236,1407
post_trade,18,True,0.05915228915662651,1328
post_trade,19,False,-0.061117137171286424,1407
post_trade,19,True,0.04994941340361446,1328
post_trade,20,False,-0.056329682302771855,1407
post_trade,20,True,0.04421886219879518,1328
post_trade,21,False,-0.05546624591329069,1407
post_trade,21,True,0.03782810843373494,1328
post_trade,22,False,-0.0566473013503909,1407
post_trade,22,True,0.03207948418674699,1328
post_trade,23,False,-0.0570044420753376,1407
post_trade,23,True,0.028749751506024098,1328
post_trade,24,False,-0.05802516631130064,1407
post_trade,24,True,0.026513652108433736,1328
