bar_sequence,is_winner,avg_candle_range,avg_vol_delta,avg_vol_delta_norm,avg_vol_roc,avg_sma_spread,avg_cvd_slope,trade_count
0,False,0.20080330774697938,5403.668173418621,0.15104019265033408,140.10098395953756,0.1487818005780347,0.03314020893371758,1407
0,True,0.20069041340361446,1909.9488328313253,0.06401441350210971,133.34525813069908,0.15752013753799393,0.036077355623100306,1328
1,False,0.19522382942430705,3351.6252594171997,0.11950049888641426,115.46878974729242,0.15255862093862815,0.03495705403458213,1407
1,True,0.19993678689759037,4403.747944277108,0.001311212376933896,82.56950889057751,0.15550626291793312,0.0324421952887538,1328
2,False,0.1943171172707889,5012.062736318408,0.05384880846325167,36.34632402597403,0.15625589393939393,0.0401141325648415,1407
2,True,0.20043042469879518,13330.13076807229,0.017015732770745428,186.50854019756838,0.15556675455927052,0.026789800151975685,1328
3,False,0.1995981855010661,3053.0973702914002,-0.0382493719376392,77.55629776334776,0.15900006060606062,0.03903994236311239,1407
3,True,0.21438659487951808,11544.994262048192,0.017400322081575246,91.28259886018238,0.15699496732522797,0.0216728320668693,1328
4,False,0.2058114854299929,7231.201883439943,-0.04656257572383073,159.10008427128426,0.16268197113997113,0.03930205403458213,1407
4,True,0.21070681777108433,14303.189322289158,0.03419535864978903,109.34096717325228,0.15916986930091184,0.015895635258358663,1328
5,False,0.20469876370106763,10681.895743772242,0.062100958797327396,132.84411119942197,0.16483297760115606,0.039811868155619594,1405
5,True,0.2357077530120482,12810.138667168674,-0.020322033755274263,248.84783898176292,0.1621580319148936,0.007856229719484457,1328
6,False,0.20500447473309608,12841.983387900356,0.07414133853006681,121.07897806637807,0.16629677994227995,0.043867373751783165,1405
6,True,0.2421516731927711,12332.190512048193,0.054561459915611815,232.5095287993921,0.1647413905775076,0.0034704554380664654,1328
7,False,0.20978071866096867,16244.552122507122,0.15295521850613156,230.71345252525253,0.16844018759018758,0.04558115620542083,1404
7,True,0.23577103162650603,4841.210293674699,0.20242989029535866,324.7919608662614,0.16630979863221884,-0.0017239924471299094,1328
8,False,0.2182288523537803,18956.01512838802,0.13085939799331103,138.41162854046243,0.16771915173410404,0.04639729357142857,1402
8,True,0.24688292394578312,-3596.6631475903614,0.10931608016877638,213.29510372340425,0.1676949255319149,-0.0075089561933534745,1328
9,False,0.21566618129907209,24187.65022127052,0.13654213616071428,121.57214862716764,0.16787465679190752,0.05156708714285714,1401
9,True,0.23853036671686748,-7586.641242469879,0.053464070323488044,303.41458601823706,0.1686855509118541,-0.004366751510574018,1328
10,False,0.21426034357142856,25410.370664285714,0.08066869832402235,207.61611148843932,0.1678863764450867,0.056132490714285714,1400
10,True,0.2523369547511312,-7785.797081447964,0.033523457102672294,192.3324702435312,0.16772294824961947,-0.0067165701357466065,1326
11,False,0.2088597807142857,27127.37207857143,0.1323845586592179,87.24168232323233,0.1675705945165945,0.056377505714285715,1400
11,True,0.24133908345978755,-12004.346433990895,-0.08183951626591231,416.00375833968013,0.16724740974866717,-0.008624481790591805,1318
12,False,0.22146879785714285,24282.928428571428,0.10872617988826816,192.93079242857144,0.1670493907142857,0.058559384285714285,1400
12,True,0.23337528072837632,-8345.345538694992,-0.14318525318246111,267.39204482496194,0.16652085540334854,-0.009460796661608498,1318
13,False,0.21797212589413448,18616.6543490701,0.0669904882418813,137.87489763948497,0.1666808590844063,0.060987730329041485,1398
13,True,0.23629708124525436,-105.64901290812452,-0.06305958215297451,128.8797899543379,0.16693850837138507,-0.010609703872437358,1317
14,False,0.2193522138769671,15524.281931330472,0.011127746920492721,170.57540557939913,0.16732724034334764,0.05922761373390558,1398
14,True,0.23513450037965072,2671.9010782080486,-0.04999464447592068,74.64838150684932,0.17092657382039575,-0.01107536674259681,1317
15,False,0.22647348495702005,10857.62729226361,-0.028693402918069585,108.84771024355301,0.16859050859598854,0.056632113896848135,1396
15,True,0.2406267650190114,5255.645429657795,0.011599788352272728,88.7340889649924,0.17774025342465755,-0.007513003802281369,1315
16,False,0.2188213452722063,6830.474577363897,-0.059892,49.353809455587395,0.16979758667621778,0.05051781303724928,1396
16,True,0.2350911338403042,10028.652380228137,0.10086960369318182,93.11228212927756,0.1875811703422053,-0.005603466159695818,1315
17,False,0.22491772277936964,9203.604742120344,-0.04443804152637486,146.3596446991404,0.16987801361031518,0.04485548567335244,1396
17,True,0.2415814631178707,13167.235954372623,0.13712415625,108.16876669201521,0.19416615209125476,-0.0004156912547528517,1315
18,False,0.23746981896551725,15111.703793103448,-0.0012482536640360767,128.7237165229885,0.16974627945402299,0.042269249281609196,1392
18,True,0.24886407072243347,14798.96969581749,0.13981475284090908,78.98171923954372,0.19955782813688214,0.011790638022813688,1315
19,False,0.2409074143884892,8927.567237410072,0.09798027796610169,244.9891018705036,0.16822198776978417,0.04281614460431655,1390
19,True,0.24824070342205323,19717.97791634981,0.10664684375,112.06882372623573,0.2036427771863118,0.02055570342205323,1315
20,False,0.25284406700288187,9923.894553314121,0.134706369195923,241.47018659942364,0.16757661455331413,0.03923080403458213,1388
20,True,0.26244810882800607,19922.51207762557,0.13962969034090908,205.62971187214612,0.2057130418569254,0.028398961187214612,1314
21,False,0.24892165345821327,14672.832672910663,0.19492428878822196,167.62157543227664,0.16593045244956772,0.033938358069164266,1388
21,True,0.2775719482496195,27913.045799086758,0.14553430681818183,194.35438599695587,0.20717645281582953,0.03811266286149163,1314
22,False,0.261396259018759,12332.017128427127,0.19165832463110102,225.2622878066378,0.1668619523809524,0.03262125541125541,1386
22,True,0.2742917305936073,24198.386552511416,0.09157363352272728,353.6312079147641,0.20576295738203956,0.04601793455098935,1314
23,False,0.26481942784992785,9782.003189033188,0.18764336095346199,210.93660613275614,0.16688409956709957,0.028672753246753245,1386
23,True,0.28271408143074583,21611.866156773212,0.10878500710227272,171.4447493150685,0.20281867656012176,0.04872477397260274,1314
24,False,0.27920105844155846,10705.260779220778,0.18237941089670828,417.60585404040404,0.16717831313131312,0.026142714285714286,1386
24,True,0.2877662914764079,19320.850175038053,0.08806032102272728,200.25748744292238,0.19948086681887367,0.04609202511415525,1314
