phase,bar_sequence,is_winner,avg_value,trade_count
ramp_up,0,False,0.15104019265033408,898
ramp_up,0,True,0.06401441350210971,711
ramp_up,1,False,0.11950049888641426,898
ramp_up,1,True,0.001311212376933896,711
ramp_up,2,False,0.05384880846325167,898
ramp_up,2,True,0.017015732770745428,711
ramp_up,3,False,-0.0382493719376392,898
ramp_up,3,True,0.017400322081575246,711
ramp_up,4,False,-0.04656257572383073,898
ramp_up,4,True,0.03419535864978903,711
ramp_up,5,False,0.062100958797327396,898
ramp_up,5,True,-0.020322033755274263,711
ramp_up,6,False,0.07414133853006681,898
ramp_up,6,True,0.054561459915611815,711
ramp_up,7,False,0.15295521850613156,897
ramp_up,7,True,0.20242989029535866,711
ramp_up,8,False,0.13085939799331103,897
ramp_up,8,True,0.10931608016877638,711
ramp_up,9,False,0.13654213616071428,896
ramp_up,9,True,0.053464070323488044,711
ramp_up,10,False,0.08066869832402235,895
ramp_up,10,True,0.033523457102672294,711
ramp_up,11,False,0.1323845586592179,895
ramp_up,11,True,-0.08183951626591231,707
ramp_up,12,False,0.10872617988826816,895
ramp_up,12,True,-0.14318525318246111,707
ramp_up,13,False,0.0669904882418813,893
ramp_up,13,True,-0.06305958215297451,706
ramp_up,14,False,0.011127746920492721,893
ramp_up,14,True,-0.04999464447592068,706
ramp_up,15,False,-0.028693402918069585,891
ramp_up,15,True,0.011599788352272728,704
ramp_up,16,False,-0.059892,891
ramp_up,16,True,0.10086960369318182,704
ramp_up,17,False,-0.04443804152637486,891
ramp_up,17,True,0.13712415625,704
ramp_up,18,False,-0.0012482536640360767,887
ramp_up,18,True,0.13981475284090908,704
ramp_up,19,False,0.09798027796610169,885
ramp_up,19,True,0.10664684375,704
ramp_up,20,False,0.134706369195923,883
ramp_up,20,True,0.13962969034090908,704
ramp_up,21,False,0.19492428878822196,883
ramp_up,21,True,0.14553430681818183,704
ramp_up,22,False,0.19165832463110102,881
ramp_up,22,True,0.09157363352272728,704
ramp_up,23,False,0.18764336095346199,881
ramp_up,23,True,0.10878500710227272,704
ramp_up,24,False,0.18237941089670828,881
ramp_up,24,True,0.08806032102272728,704
post_trade,0,False,0.2705084855233853,898
post_trade,0,True,0.37215186497890296,711
post_trade,1,False,0.1285687683741648,898
post_trade,1,True,0.4676011603375527,711
post_trade,2,False,-0.027001733853006683,898
post_trade,2,True,0.6155929535864979,711
post_trade,3,False,-0.22170043652561247,898
post_trade,3,True,0.6475113783403657,711
post_trade,4,False,-0.33834746213808464,898
post_trade,4,True,0.8129240464135021,711
post_trade,5,False,-0.6027702995545657,898
post_trade,5,True,0.6547766680731364,711
post_trade,6,False,-0.623730556792873,898
post_trade,6,True,0.5647649324894515,711
post_trade,7,False,-0.6196009554565701,898
post_trade,7,True,0.48465072151898736,711
post_trade,8,False,-0.5236269933184855,898
post_trade,8,True,0.5231054866385373,711
post_trade,9,False,-0.49812721826280626,898
post_trade,9,True,0.44966753586497893,711
post_trade,10,False,-0.4411204443207127,898
post_trade,10,True,0.3871234711673699,711
post_trade,11,False,-0.37691622048997775,898
post_trade,11,True,0.3496102137834037,711
post_trade,12,False,-0.26294483184855233,898
post_trade,12,True,0.3346944149085795,711
post_trade,13,False,-0.19876921380846324,898
post_trade,13,True,0.26609972433192686,711
post_trade,14,False,-0.16979796213808462,898
post_trade,14,True,0.2717534894514768,711
post_trade,15,False,-0.17519544320712696,898
post_trade,15,True,0.19285956540084387,711
post_trade,16,False,-0.175792495545657,898
post_trade,16,True,0.17245623628691983,711
post_trade,17,False,-0.20975367817371937,898
post_trade,17,True,0.1724456976090014,711
post_trade,18,False,-0.3036332216035635,898
post_trade,18,True,0.216755905766526,711
post_trade,19,False,-0.33511647884187085,898
post_trade,19,True,0.15425834599156119,711
post_trade,20,False,-0.38413639086859686,898
post_trade,20,True,0.16371217721518988,711
post_trade,21,False,-0.37170459131403116,898
post_trade,21,True,0.1356035569620253,711
post_trade,22,False,-0.30219586191536746,898
post_trade,22,True,0.09956673980309423,711
post_trade,23,False,-0.23088867371937638,898
post_trade,23,True,0.12951982278481014,711
post_trade,24,False,-0.1293865144766147,898
post_trade,24,True,0.12960911251758087,711
